task_description,api_count,task_lower,soc_code,task_id,occupation_title
"prepare reports, including assignment of company funds or recording of department revenues.",32.0,"prepare reports, including assignment of company funds or recording of department revenues.",43-3041.00,4676.0,Gambling Cage Workers
"prepare reports, manuscripts, and meeting presentations.",314.0,"prepare reports, manuscripts, and meeting presentations.",,,
"prepare reports, manuscripts, proposals, and technical manuals for use by other scientists and requestors, such as sponsors and customers.",1121.0,"prepare reports, manuscripts, proposals, and technical manuals for use by other scientists and requestors, such as sponsors and customers.",19-2032.00,20214.0,Materials Scientists
prepare requirements documentation for use by software developers.,39.0,prepare requirements documentation for use by software developers.,13-2099.01,15982.0,Financial Quantitative Analysts
prepare responses to correspondence containing routine inquiries.,190.0,prepare responses to correspondence containing routine inquiries.,43-6011.00,2776.0,Executive Secretaries and Executive Administrative Assistants
"prepare responses to customer requests for information, such as product data, written regulatory affairs statements, surveys, or questionnaires.",37.0,"prepare responses to customer requests for information, such as product data, written regulatory affairs statements, surveys, or questionnaires.",13-1041.07,18064.0,Regulatory Affairs Specialists
prepare results of experimental findings for presentation at professional conferences or in scientific journals.,91.0,prepare results of experimental findings for presentation at professional conferences or in scientific journals.,19-1029.03,16831.0,Geneticists
prepare sales contracts and order forms.,28.0,prepare sales contracts and order forms.,41-4012.00,20267.0,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
prepare sales presentations or proposals to explain product specifications or applications.,809.0,prepare sales presentations or proposals to explain product specifications or applications.,41-4011.00,11246.0,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
"prepare specifications, designs, or sketches for machines, components, or systems related to the generation, transmission, or use of mechanical or fluid energy.",26.0,"prepare specifications, designs, or sketches for machines, components, or systems related to the generation, transmission, or use of mechanical or fluid energy.",17-3027.00,22085.0,Mechanical Engineering Technologists and Technicians
"prepare statistical reports, narrative reports, or graphic presentations of information, such as tumor registry data for use by hospital staff, researchers, or other users.",25.0,"prepare statistical reports, narrative reports, or graphic presentations of information, such as tumor registry data for use by hospital staff, researchers, or other users.",29-9021.00,22904.0,Health Information Technologists and Medical Registrars
"prepare study-related documentation such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, and progress reports.",47.0,"prepare study-related documentation such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, and progress reports.",,,
prepare summary statistics of information regarding human genomes.,41.0,prepare summary statistics of information regarding human genomes.,19-1029.01,16782.0,Bioinformatics Scientists
prepare support documentation and training materials for end users of document management systems.,17.0,prepare support documentation and training materials for end users of document management systems.,15-1299.03,16224.0,Document Management Specialists
prepare system activity and performance reports.,201.0,prepare system activity and performance reports.,15-1241.01,16065.0,Telecommunications Engineering Specialists
prepare tables and graphs to present clinical data or results.,18.0,prepare tables and graphs to present clinical data or results.,15-2041.01,16252.0,Biostatisticians
"prepare tables, graphs, fact sheets, and written reports summarizing research results.",357.0,"prepare tables, graphs, fact sheets, and written reports summarizing research results.",19-4061.00,12957.0,Social Science Research Assistants
prepare technical reports and recommendations based upon research outcomes.,127.0,prepare technical reports and recommendations based upon research outcomes.,,,
"prepare technical reports, data summary documents, or research articles for scientific publication, regulatory submissions, or patent applications.",188.0,"prepare technical reports, data summary documents, or research articles for scientific publication, regulatory submissions, or patent applications.",17-2031.00,21856.0,Bioengineers and Biomedical Engineers
"prepare written and oral reports describing research results, using illustrations, maps, appendices, and other information.",175.0,"prepare written and oral reports describing research results, using illustrations, maps, appendices, and other information.",19-2043.00,18618.0,Hydrologists
prepare written documentation of electromechanical test results.,16.0,prepare written documentation of electromechanical test results.,17-3024.00,20743.0,Electro-Mechanical and Mechatronics Technologists and Technicians
prepare written reports on investigations.,27.0,prepare written reports on investigations.,33-9099.02,17570.0,Retail Loss Prevention Specialists
"prepare written reports that estimate property values, outline methods by which the estimations were made, and meet appraisal standards.",44.0,"prepare written reports that estimate property values, outline methods by which the estimations were made, and meet appraisal standards.",13-2023.00,21550.0,Appraisers and Assessors of Real Estate
"prepare, administer, and grade tests and assignments to evaluate students' progress.",335.0,"prepare, administer, and grade tests and assignments to evaluate students' progress.",25-2021.00,6544.0,"Elementary School Teachers, Except Special Education"
"prepare, administer, and grade tests and assignments to evaluate students' progress.",335.0,"prepare, administer, and grade tests and assignments to evaluate students' progress.",25-2022.00,6576.0,"Middle School Teachers, Except Special and Career/Technical Education"
"prepare, administer, and grade tests and assignments to evaluate students' progress.",335.0,"prepare, administer, and grade tests and assignments to evaluate students' progress.",25-2023.00,6616.0,"Career/Technical Education Teachers, Middle School"
"prepare, administer, and grade tests and assignments to evaluate students' progress.",335.0,"prepare, administer, and grade tests and assignments to evaluate students' progress.",25-2031.00,6642.0,"Secondary School Teachers, Except Special and Career/Technical Education"
"prepare, administer, and grade tests and assignments to evaluate students' progress.",335.0,"prepare, administer, and grade tests and assignments to evaluate students' progress.",25-2032.00,6678.0,"Career/Technical Education Teachers, Secondary School"
"prepare, administer, and grade tests and assignments to evaluate students' progress.",335.0,"prepare, administer, and grade tests and assignments to evaluate students' progress.",25-2057.00,6756.0,"Special Education Teachers, Middle School"
"prepare, administer, and grade tests and assignments to evaluate students' progress.",335.0,"prepare, administer, and grade tests and assignments to evaluate students' progress.",25-2058.00,6804.0,"Special Education Teachers, Secondary School"
"prepare, analyze, and verify annual reports, financial statements, and other records, using accepted accounting and statistical procedures to assess financial condition and facilitate financial planning.",277.0,"prepare, analyze, and verify annual reports, financial statements, and other records, using accepted accounting and statistical procedures to assess financial condition and facilitate financial planning.",,,
"prepare, maintain, or update security procedures, security system drawings, or related documentation.",37.0,"prepare, maintain, or update security procedures, security system drawings, or related documentation.",13-1199.07,21498.0,Security Management Specialists
"prepare, manipulate, and manage extensive databases.",871.0,"prepare, manipulate, and manage extensive databases.",19-4061.00,12952.0,Social Science Research Assistants
"prepare, review, or maintain maintenance schedules, design documentation, or operational reports or charts.",46.0,"prepare, review, or maintain maintenance schedules, design documentation, or operational reports or charts.",17-2072.00,5354.0,"Electronics Engineers, Except Computer"
"prepare, rewrite and edit copy to improve readability, or supervise others who do this work.",5300.0,"prepare, rewrite and edit copy to improve readability, or supervise others who do this work.",27-3041.00,1776.0,Editors
"prescribe individualized exercise programs, specifying equipment such as treadmill, exercise bicycle, ergometers, or perceptual goggles.",29.0,"prescribe individualized exercise programs, specifying equipment such as treadmill, exercise bicycle, ergometers, or perceptual goggles.",,,
"present and explain proposals, reports, or findings to clients.",83.0,"present and explain proposals, reports, or findings to clients.",11-9041.00,1070.0,Architectural and Engineering Managers
"present and make recommendations regarding course design, technology, and instruction delivery options.",15.0,"present and make recommendations regarding course design, technology, and instruction delivery options.",25-9031.00,22449.0,Instructional Coordinators
present clients with information required to make informed health care and treatment decisions.,46.0,present clients with information required to make informed health care and treatment decisions.,29-1141.04,18012.0,Clinical Nurse Specialists
"present information in audio-visual or interactive formats, using computers, television, audio-visual aids, or other equipment, materials, or technologies.",48.0,"present information in audio-visual or interactive formats, using computers, television, audio-visual aids, or other equipment, materials, or technologies.",25-2051.00,19081.0,"Special Education Teachers, Preschool"
"present information in audio-visual or interactive formats, using computers, televisions, audio-visual aids, or other equipment, materials, or technologies.",46.0,"present information in audio-visual or interactive formats, using computers, televisions, audio-visual aids, or other equipment, materials, or technologies.",25-2055.00,22355.0,"Special Education Teachers, Kindergarten"
"present investment information, such as product risks, fees, or fund performance statistics.",471.0,"present investment information, such as product risks, fees, or fund performance statistics.",11-3031.03,15668.0,Investment Fund Managers
"present oral or written reports on general economic trends, individual corporations, and entire industries.",39.0,"present oral or written reports on general economic trends, individual corporations, and entire industries.",13-2051.00,21600.0,Financial and Investment Analysts
present research findings to groups of people.,43.0,present research findings to groups of people.,19-4061.00,12961.0,Social Science Research Assistants
process all correspondence and paperwork related to accounts.,51.0,process all correspondence and paperwork related to accounts.,41-3011.00,4582.0,Advertising Sales Agents
process and prepare business or government forms.,81.0,process and prepare business or government forms.,29-2072.00,22884.0,Medical Records Specialists
"process and prepare documents, such as business or government forms and expense reports.",1205.0,"process and prepare documents, such as business or government forms and expense reports.",43-9061.00,838.0,"Office Clerks, General"
"process and prepare memos, correspondence, travel vouchers, or other documents.",76.0,"process and prepare memos, correspondence, travel vouchers, or other documents.",43-4171.00,758.0,Receptionists and Information Clerks
process and record new insurance policies and claims.,186.0,process and record new insurance policies and claims.,43-9041.00,23319.0,Insurance Claims and Policy Processing Clerks
"process and review environmental permits, licenses, or related materials.",85.0,"process and review environmental permits, licenses, or related materials.",19-2041.00,15221.0,"Environmental Scientists and Specialists, Including Health"
"process clinical data, including receipt, entry, verification, or filing of information.",219.0,"process clinical data, including receipt, entry, verification, or filing of information.",15-2051.02,16284.0,Clinical Data Managers
"process data for analysis, using computers.",294.0,"process data for analysis, using computers.",,,
"process large amounts of data for statistical modeling and graphic analysis, using computers.",88.0,"process large amounts of data for statistical modeling and graphic analysis, using computers.",15-2041.00,8954.0,Statisticians
"process medical insurance claims, posting bill amounts and calculating copayments.",17.0,"process medical insurance claims, posting bill amounts and calculating copayments.",31-9095.00,2058.0,Pharmacy Aides
"process, prepare, and submit business or government forms, such as submitting applications for coverage to insurance carriers.",41.0,"process, prepare, and submit business or government forms, such as submitting applications for coverage to insurance carriers.",43-9041.00,23329.0,Insurance Claims and Policy Processing Clerks
"process, verify, and maintain personnel related documentation, including staffing, recruitment, training, grievances, performance evaluations, classifications, and employee leaves of absence.",86.0,"process, verify, and maintain personnel related documentation, including staffing, recruitment, training, grievances, performance evaluations, classifications, and employee leaves of absence.",43-4161.00,18572.0,"Human Resources Assistants, Except Payroll and Timekeeping"
"procure, produce, and provide information on the safe operation of aircraft, such as flight planning publications, operations publications, charts and maps, and weather information.",39.0,"procure, produce, and provide information on the safe operation of aircraft, such as flight planning publications, operations publications, charts and maps, and weather information.",,,
produce a computer-generated or film image for interpretation by a physician.,42.0,produce a computer-generated or film image for interpretation by a physician.,29-2033.00,4152.0,Nuclear Medicine Technologists
"produce data layers, maps, tables, or reports, using spatial analysis procedures or geographic information systems (gis) technology, equipment, or systems.",15.0,"produce data layers, maps, tables, or reports, using spatial analysis procedures or geographic information systems (gis) technology, equipment, or systems.",15-1299.02,21715.0,Geographic Information Systems Technologists and Technicians
"produce films and other video products, regulate their distribution, and operate film library.",35.0,"produce films and other video products, regulate their distribution, and operate film library.",11-2032.00,21243.0,Public Relations Managers
"produce films and other video products, regulate their distribution, and operate film library.",35.0,"produce films and other video products, regulate their distribution, and operate film library.",11-2033.00,21260.0,Fundraising Managers
"produce medical reports, correspondence, records, patient-care information, statistics, medical research, and administrative material.",98.0,"produce medical reports, correspondence, records, patient-care information, statistics, medical research, and administrative material.",31-9094.00,9421.0,Medical Transcriptionists
"produce pharmaceutically or industrially useful proteins, using recombinant dna technology.",24.0,"produce pharmaceutically or industrially useful proteins, using recombinant dna technology.",19-1021.00,12945.0,Biochemists and Biophysicists
"produce reports or presentations that outline findings, explain risk positions, or recommend changes.",43.0,"produce reports or presentations that outline findings, explain risk positions, or recommend changes.",13-2054.00,21629.0,Financial Risk Specialists
"produce up-to-the-minute information, using internal computer systems, to allow management to base decisions on actual, not historical, data.",236.0,"produce up-to-the-minute information, using internal computer systems, to allow management to base decisions on actual, not historical, data.",,,
produce written summary reports of financial research results.,159.0,produce written summary reports of financial research results.,13-2099.01,15988.0,Financial Quantitative Analysts
program computerized graphic effects.,665.0,program computerized graphic effects.,27-4032.00,4059.0,Film and Video Editors
program electronic equipment.,150.0,program electronic equipment.,51-6062.00,14161.0,"Textile Cutting Machine Setters, Operators, and Tenders"
program electronic equipment.,150.0,program electronic equipment.,51-6063.00,14178.0,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
promote awareness or use of alternative or renewable energy sources.,72.0,promote awareness or use of alternative or renewable energy sources.,17-2199.03,18157.0,"Energy Engineers, Except Wind and Solar"
"promote products in online communities through weblog or discussion-forum postings, e-mail marketing programs, or online advertising.",56.0,"promote products in online communities through weblog or discussion-forum postings, e-mail marketing programs, or online advertising.",13-1199.06,15717.0,Online Merchants
"proofread, edit, and revise translated materials.",340.0,"proofread, edit, and revise translated materials.",27-3091.00,9329.0,Interpreters and Translators
propose logistics solutions for customers.,66.0,propose logistics solutions for customers.,13-1081.01,15861.0,Logistics Engineers
protect and control proprietary materials.,31.0,protect and control proprietary materials.,13-1081.00,8936.0,Logisticians
provide additional instruction in vocational areas.,48.0,provide additional instruction in vocational areas.,25-2057.00,6781.0,"Special Education Teachers, Middle School"
provide additional instruction in vocational areas.,48.0,provide additional instruction in vocational areas.,25-2058.00,6807.0,"Special Education Teachers, Secondary School"
"provide administrative support for projects by collecting data, providing project documentation, training staff, or performing other general administrative duties.",55.0,"provide administrative support for projects by collecting data, providing project documentation, training staff, or performing other general administrative duties.",17-2081.00,1372.0,Environmental Engineers
"provide advice and consultation on economic relationships to businesses, public and private agencies, and other employers.",39.0,"provide advice and consultation on economic relationships to businesses, public and private agencies, and other employers.",19-3011.00,7537.0,Economists
provide advice on best practices and implementation for selection.,98.0,provide advice on best practices and implementation for selection.,19-3032.00,20230.0,Industrial-Organizational Psychologists
"provide advice on project costs, design concepts, or design changes.",15.0,"provide advice on project costs, design concepts, or design changes.",15-1299.08,14667.0,Computer Systems Engineers/Architects
"provide advice on transportation options, types of carriers, or shipping routes.",128.0,"provide advice on transportation options, types of carriers, or shipping routes.",13-1041.08,15925.0,Customs Brokers
"provide advice to clients on a contract basis, working as a consultant.",128.0,"provide advice to clients on a contract basis, working as a consultant.",15-2011.00,3506.0,Actuaries
provide aircrews with information and services needed for airfield management and flight planning.,101.0,provide aircrews with information and services needed for airfield management and flight planning.,53-2022.00,10630.0,Airfield Operations Specialists
provide application or analytical support to researchers or traders on issues such as valuations or data.,53.0,provide application or analytical support to researchers or traders on issues such as valuations or data.,13-2099.01,15983.0,Financial Quantitative Analysts
provide assistance in administering employee benefit programs and worker's compensation plans.,45.0,provide assistance in administering employee benefit programs and worker's compensation plans.,43-4161.00,2702.0,"Human Resources Assistants, Except Payroll and Timekeeping"
provide assistance in the design of survey instruments such as questionnaires.,19.0,provide assistance in the design of survey instruments such as questionnaires.,19-4061.00,12965.0,Social Science Research Assistants
"provide assistance or direction to other stockroom, warehouse, or storage yard workers.",21.0,"provide assistance or direction to other stockroom, warehouse, or storage yard workers.",53-7065.00,23887.0,Stockers and Order Fillers
"provide assistance to food scientists or technologists in research and development, production technology, or quality control.",35.0,"provide assistance to food scientists or technologists in research and development, production technology, or quality control.",19-4013.00,7577.0,Food Science Technicians
provide assistance to students in college writing centers.,255.0,provide assistance to students in college writing centers.,25-1123.00,6328.0,"English Language and Literature Teachers, Postsecondary"
"provide assistance with the preparation of project-related reports, manuscripts, and presentations.",27.0,"provide assistance with the preparation of project-related reports, manuscripts, and presentations.",19-4061.00,12953.0,Social Science Research Assistants
"provide clear, detailed descriptions of web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.",70.0,"provide clear, detailed descriptions of web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.",15-1254.00,14722.0,Web Developers
"provide clear, detailed descriptions of web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.",70.0,"provide clear, detailed descriptions of web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.",15-1255.00,21707.0,Web and Digital Interface Designers
"provide clerks with information to print on price tags, such as price, mark-ups or mark-downs, manufacturer number, season code, or style number.",27.0,"provide clerks with information to print on price tags, such as price, mark-ups or mark-downs, manufacturer number, season code, or style number.",13-1022.00,77.0,"Wholesale and Retail Buyers, Except Farm Products"
"provide clients or family members with information about addiction issues and about available services or programs, making appropriate referrals when necessary.",85.0,"provide clients or family members with information about addiction issues and about available services or programs, making appropriate referrals when necessary.",21-1011.00,5589.0,Substance Abuse and Behavioral Disorder Counselors
"provide clients with communication assistance, typing their correspondence or obtaining information for them.",91.0,"provide clients with communication assistance, typing their correspondence or obtaining information for them.",31-1122.00,2379.0,Personal Care Aides
provide clinical services or health education to improve and maintain the oral health of patients or the general public.,114.0,provide clinical services or health education to improve and maintain the oral health of patients or the general public.,29-1292.00,18537.0,Dental Hygienists
"provide consultation or training to volunteers or staff on topics such as guest relations, patients' rights, and medical issues.",21.0,"provide consultation or training to volunteers or staff on topics such as guest relations, patients' rights, and medical issues.",,,
"provide consultation, support, or education to groups such as parents and teachers.",40.0,"provide consultation, support, or education to groups such as parents and teachers.",29-1122.01,17338.0,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
"provide current and prospective employees with information about policies, job duties, working conditions, wages, opportunities for promotion and employee benefits.",160.0,"provide current and prospective employees with information about policies, job duties, working conditions, wages, opportunities for promotion and employee benefits.",,,
"provide customer assistance and information, such as giving directions or handling wheelchairs.",15.0,"provide customer assistance and information, such as giving directions or handling wheelchairs.",53-6021.00,20838.0,Parking Attendants
provide customer service by greeting and assisting customers and responding to customer inquiries and complaints.,237.0,provide customer service by greeting and assisting customers and responding to customer inquiries and complaints.,41-1011.00,657.0,First-Line Supervisors of Retail Sales Workers
"provide customer support and education, working with users to identify needs, determine sources of problems, or to provide information on product use.",264.0,"provide customer support and education, working with users to identify needs, determine sources of problems, or to provide information on product use.",,,
"provide customer with brochures and publications containing travel information, such as local customs, points of interest, or foreign country regulations.",216.0,"provide customer with brochures and publications containing travel information, such as local customs, points of interest, or foreign country regulations.",41-3041.00,742.0,Travel Agents
provide customers with cost estimates for equipment installation.,21.0,provide customers with cost estimates for equipment installation.,49-2098.00,11771.0,Security and Fire Alarm Systems Installers
provide customers with information about casino operations.,113.0,provide customers with information about casino operations.,43-3041.00,4673.0,Gambling Cage Workers
"provide customers with information about the uses, effects, or interactions of drugs.",104.0,"provide customers with information about the uses, effects, or interactions of drugs.",,,
"provide customers with information on routes, gates, prices, timetables, terminals, or concourses.",109.0,"provide customers with information on routes, gates, prices, timetables, terminals, or concourses.",53-6061.00,13182.0,Passenger Attendants
"provide customers with information such as quotes, orders, sales, shipping, warranties, credit, funding options, incentives, or tax rebates.",141.0,"provide customers with information such as quotes, orders, sales, shipping, warranties, credit, funding options, incentives, or tax rebates.",,,
provide customers with ongoing technical support.,82.0,provide customers with ongoing technical support.,41-4011.00,11248.0,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
provide customers with product samples and catalogs.,18.0,provide customers with product samples and catalogs.,41-4012.00,8119.0,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
"provide dietitians with assistance researching food, nutrition, or food service systems.",40.0,"provide dietitians with assistance researching food, nutrition, or food service systems.",29-2051.00,4173.0,Dietetic Technicians
"provide direct assistance to farmers by performing activities such as purchasing or selling products and supplies, supervising properties, and collecting soil and herbage samples for testing.",24.0,"provide direct assistance to farmers by performing activities such as purchasing or selling products and supplies, supervising properties, and collecting soil and herbage samples for testing.",25-9021.00,10987.0,Farm and Home Management Educators
provide directions and respond to passenger inquiries.,21.0,provide directions and respond to passenger inquiries.,33-9093.00,15356.0,Transportation Security Screeners
"provide educational information about physical therapy or physical therapists, injury prevention, ergonomics, or ways to promote health.",54.0,"provide educational information about physical therapy or physical therapists, injury prevention, ergonomics, or ways to promote health.",29-1123.00,381.0,Physical Therapists
provide employees with guidance in handling difficult or complex problems or in resolving escalated complaints or disputes.,139.0,provide employees with guidance in handling difficult or complex problems or in resolving escalated complaints or disputes.,43-1011.00,9705.0,First-Line Supervisors of Office and Administrative Support Workers
provide facial and body massages.,17.0,provide facial and body massages.,39-5094.00,8079.0,Skincare Specialists
provide feedback and recommendations to developers on software usability and functionality.,4824.0,provide feedback and recommendations to developers on software usability and functionality.,15-1253.00,14653.0,Software Quality Assurance Analysts and Testers
provide formal and informal education to other staff members.,22.0,provide formal and informal education to other staff members.,29-1141.01,18324.0,Acute Care Nurses
"provide guests with information about local areas, including giving directions.",26.0,"provide guests with information about local areas, including giving directions.",,,
provide guidelines for implementing secure systems to customers or installation teams.,59.0,provide guidelines for implementing secure systems to customers or installation teams.,,,
provide individual support or counseling in general wellness or nutrition.,117.0,provide individual support or counseling in general wellness or nutrition.,11-9179.01,15545.0,Fitness and Wellness Coordinators
"provide information about establishment, such as location of departments or offices, employees within the organization, or services provided.",41.0,"provide information about establishment, such as location of departments or offices, employees within the organization, or services provided.",43-4171.00,753.0,Receptionists and Information Clerks
"provide information about facilities, entertainment options, and rules and regulations.",138.0,"provide information about facilities, entertainment options, and rules and regulations.",39-3091.00,5116.0,Amusement and Recreation Attendants
"provide information about local features, such as shopping, dining, nightlife, or recreational destinations.",78.0,"provide information about local features, such as shopping, dining, nightlife, or recreational destinations.",39-6012.00,4529.0,Concierges
"provide information about rental items, such as availability, operation, or description.",144.0,"provide information about rental items, such as availability, operation, or description.",41-2021.00,691.0,Counter and Rental Clerks
"provide information about the physical and emotional processes involved in the pregnancy, labor, birth, and postpartum periods.",22.0,"provide information about the physical and emotional processes involved in the pregnancy, labor, birth, and postpartum periods.",29-9099.01,17485.0,Midwives
"provide information and advice regarding drug interactions, side effects, dosage, and proper medication storage.",226.0,"provide information and advice regarding drug interactions, side effects, dosage, and proper medication storage.",29-1051.00,1809.0,Pharmacists
"provide information and advice to the public regarding the selection, purchase, and care of products.",948.0,"provide information and advice to the public regarding the selection, purchase, and care of products.",45-2092.00,23384.0,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
provide information for teachers and staff members involved in helping students or graduates identify and pursue employment opportunities.,19.0,provide information for teachers and staff members involved in helping students or graduates identify and pursue employment opportunities.,21-1012.00,5630.0,"Educational, Guidance, and Career Counselors and Advisors"
provide information from the institution's holdings to other curators and to the public.,109.0,provide information from the institution's holdings to other curators and to the public.,25-4012.00,1645.0,Curators
"provide information such as directions, visiting hours, or patient status information to visitors or callers.",52.0,"provide information such as directions, visiting hours, or patient status information to visitors or callers.",,,
"provide information to employees and managers on payroll matters, tax issues, benefit plans, and collective agreement provisions.",94.0,"provide information to employees and managers on payroll matters, tax issues, benefit plans, and collective agreement provisions.",43-3051.00,2523.0,Payroll and Timekeeping Clerks
"provide information to the patient about the proposed intervention, its material risks and expected benefits, and any reasonable alternatives.",15.0,"provide information to the patient about the proposed intervention, its material risks and expected benefits, and any reasonable alternatives.",29-1123.00,375.0,Physical Therapists
"provide information, guidance, and preparation for the general equivalency diploma (ged) examination.",99.0,"provide information, guidance, and preparation for the general equivalency diploma (ged) examination.",25-3011.00,6834.0,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
"provide information, technical assistance, or training to supervisors, managers, or employees on topics such as employee supervision, hiring, grievance procedures, or staff development.",54.0,"provide information, technical assistance, or training to supervisors, managers, or employees on topics such as employee supervision, hiring, grievance procedures, or staff development.",13-1041.03,10875.0,Equal Opportunity Representatives and Officers
"provide instructions to clients on how to obtain help with legal, financial, and other personal issues.",21.0,"provide instructions to clients on how to obtain help with legal, financial, and other personal issues.",21-1013.00,9194.0,Marriage and Family Therapists
provide instructions to patients or family members concerning diagnoses or treatment plans.,19.0,provide instructions to patients or family members concerning diagnoses or treatment plans.,29-1299.02,18432.0,Orthoptists
"provide logistics technology or information for effective and efficient support of product, equipment, or system manufacturing or service.",42.0,"provide logistics technology or information for effective and efficient support of product, equipment, or system manufacturing or service.",13-1081.01,15877.0,Logistics Engineers
"provide occupational, educational, and other information to individuals so that they can make educational and vocational plans.",349.0,"provide occupational, educational, and other information to individuals so that they can make educational and vocational plans.",,,
provide or coordinate troubleshooting support for data warehouses.,116.0,provide or coordinate troubleshooting support for data warehouses.,15-1243.01,16118.0,Data Warehousing Specialists
provide patients or caregivers with assistance in locating health care resources.,106.0,provide patients or caregivers with assistance in locating health care resources.,29-1171.00,18398.0,Nurse Practitioners
"provide private instruction to individual or small groups of students to improve academic performance, improve occupational skills, or prepare for academic or occupational tests.",1760.0,"provide private instruction to individual or small groups of students to improve academic performance, improve occupational skills, or prepare for academic or occupational tests.",25-3041.00,17037.0,Tutors
"provide product information, using lectures, films, charts, or slide shows.",76.0,"provide product information, using lectures, films, charts, or slide shows.",41-9011.00,13208.0,Demonstrators and Product Promoters
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1011.00,5683.0,"Business Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1021.00,5705.0,"Computer Science Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1031.00,5749.0,"Architecture Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1032.00,5772.0,"Engineering Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1041.00,5796.0,"Agricultural Sciences Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1042.00,5821.0,"Biological Science Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1043.00,5840.0,"Forestry and Conservation Science Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1051.00,5865.0,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1052.00,5891.0,"Chemistry Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1053.00,5910.0,"Environmental Science Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1054.00,5935.0,"Physics Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1061.00,5959.0,"Anthropology and Archeology Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1062.00,5983.0,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1063.00,6004.0,"Economics Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1064.00,6030.0,"Geography Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1065.00,6052.0,"Political Science Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1066.00,6075.0,"Psychology Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1067.00,6098.0,"Sociology Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1072.00,6147.0,"Nursing Instructors and Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1081.00,6170.0,"Education Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1082.00,6192.0,"Library Science Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1111.00,6211.0,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1112.00,6236.0,"Law Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1113.00,6259.0,"Social Work Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1121.00,6287.0,"Art, Drama, and Music Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1122.00,6309.0,"Communications Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1123.00,6333.0,"English Language and Literature Teachers, Postsecondary"
provide professional consulting services to government or industry.,174.0,provide professional consulting services to government or industry.,25-1192.00,6421.0,"Family and Consumer Sciences Teachers, Postsecondary"
