anthropic_task_description,api_usage_count,onet_soc_code,onet_task_id,onet_task_description,onet_task_type,onet_occupation_title,onet_occupation_description,match_method,match_score,Job Zone,typical_education,typical_education_pct,task_importance,task_relevance,dwa_ids,dwa_titles,iwa_ids,nonroutine_cognitive_analytical,nonroutine_cognitive_interpersonal,nonroutine_manual,nonroutine_total
direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,24.0,11-1011.00,8847.0,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,Supplemental,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",exact,100.0,5,8.0,45.91,3.9,27.31,4.A.4.b.4.I09.D02,Direct financial operations.,4.A.4.b.4.I09,0.8466257668711656,1.0,0.2610966057441253,0.7973537604456826
"manipulate plot, score, sound, and graphics to make the parts into a continuous whole, working closely with people in audio, visual, music, optical, or special effects departments.",24.0,27-4032.00,4064.0,"Manipulate plot, score, sound, and graphics to make the parts into a continuous whole, working closely with people in audio, visual, music, optical, or special effects departments.",Core,Film and Video Editors,"Edit moving images on film, video, or other media. May work with a producer or director to organize images for final production. May edit or synchronize soundtracks with images.",exact,100.0,4,6.0,65.1,4.14,78.33,4.A.2.b.1.I11.D01,Edit audio or video recordings.,4.A.2.b.1.I11,0.7868098159509204,0.561576354679803,0.3890339425587467,0.6525069637883009
"direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",24.0,11-3021.00,968.0,"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",Core,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",exact,100.0,4,6.0,47.68,4.11,99.97,4.A.2.a.4.I07.D12; 4.A.2.b.2.I27.D02; 4.A.4.b.4.I12.D39,"Analyze data to inform operational decisions or activities.; Develop organizational goals or objectives.; Direct organizational operations, projects, or services.",4.A.2.a.4.I07; 4.A.2.b.2.I27; 4.A.4.b.4.I12,0.7131901840490799,0.7274220032840724,0.24543080939947778,0.6128133704735379
inform job applicants of their acceptance or rejection of employment.,24.0,43-4161.00,2698.0,Inform job applicants of their acceptance or rejection of employment.,Supplemental,"Human Resources Assistants, Except Payroll and Timekeeping","Compile and keep personnel records. Record data for each employee, such as address, weekly earnings, absences, amount of sales or production, supervisory reports, and date of and reason for termination. May prepare reports for employment records, file employment records, or search employee files and furnish information to authorized persons.",exact,100.0,3,6.0,33.81,3.89,66.8,4.A.4.c.2.I01.D08,Administer personnel recruitment or hiring activities.,4.A.4.c.2.I01,0.4662576687116565,0.5829228243021347,0.25848563968668403,0.44637883008356566
"examine claims investigated by insurance adjusters, further investigating questionable claims to determine whether to authorize payments.",24.0,13-1031.00,21427.0,"Examine claims investigated by insurance adjusters, further investigating questionable claims to determine whether to authorize payments.",Core,"Claims Adjusters, Examiners, and Investigators",Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims.,exact,100.0,4,6.0,55.82,4.39,77.3,4.A.1.a.1.I03.D04,Investigate legal issues.,4.A.1.a.1.I03,0.5797546012269937,0.4433497536945814,0.12532637075718014,0.36768802228412256
identify new advertising markets and propose products to serve them.,24.0,41-3011.00,4593.0,"Identify new advertising markets, and propose products to serve them.",Core,Advertising Sales Agents,"Sell or solicit advertising space, time, or media in publications, signage, TV, radio, or Internet establishments or public spaces.",exact,100.0,4,6.0,51.85,3.88,78.05,4.A.1.b.1.I02.D02,Identify potential customers.,4.A.1.b.1.I02,0.6303680981595091,0.5533661740558292,0.11227154046997387,0.4303621169916436
recommend design modifications to eliminate machine or system malfunctions.,24.0,17-2141.00,1421.0,Recommend design modifications to eliminate machine or system malfunctions.,Core,Mechanical Engineers,"Perform engineering duties in planning and designing tools, engines, machines, and other mechanically functioning equipment. Oversee installation, operation, maintenance, and repair of equipment such as centralized heat, gas, water, and steam systems.",exact,100.0,4,6.0,52.29,3.75,82.5,4.A.4.b.6.I05.D09,"Recommend technical design or process changes to improve efficiency, quality, or performance.",4.A.4.b.6.I05,0.771472392638037,0.40229885057471276,0.4830287206266319,0.6281337047353762
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,24.0,25-2031.00,6666.0,"Administer standardized ability and achievement tests, and interpret results to determine students' strengths and needs.",Core,"Secondary School Teachers, Except Special and Career/Technical Education",Teach one or more subjects to students at the secondary school level.,fuzzy,95.86776859504133,4,6.0,52.6,3.2,88.39,4.A.2.a.1.I03.D02,Administer tests to assess educational needs or progress.,4.A.2.a.1.I03,0.7285276073619632,0.6239737274220034,0.2845953002610966,0.5967966573816156
encrypt data transmissions and erect firewalls to conceal confidential information as it is being transmitted and to keep out tainted digital transfers.,24.0,15-1212.00,5321.0,Encrypt data transmissions and erect firewalls to conceal confidential information as it is being transmitted and to keep out tainted digital transfers.,Core,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.",exact,100.0,4,6.0,52.64,4.18,71.37,4.A.3.b.1.I02.D01,Implement security measures for computer or information systems.,4.A.3.b.1.I02,0.6840490797546014,0.3973727422003285,0.227154046997389,0.44986072423398354
educate customers on energy efficiency or answer questions on topics such as the costs of running household appliances or the selection of energy efficient appliances.,24.0,47-4011.01,18081.0,Educate customers on energy efficiency or answer questions on topics such as the costs of running household appliances or the selection of energy-efficient appliances.,Core,Energy Auditors,"Conduct energy audits of buildings, building systems, or process systems. May also conduct investment grade audits of buildings or systems.",fuzzy,99.69788519637464,3,2.0,34.48,3.89,96.55,4.A.4.a.8.I03.D06,Correspond with customers to answer questions or resolve complaints.,4.A.4.a.8.I03,0.6073619631901842,0.45484400656814467,0.5300261096605744,0.6009749303621171
"produce pharmaceutically or industrially useful proteins, using recombinant dna technology.",24.0,19-1021.00,12945.0,"Produce pharmaceutically or industrially useful proteins, using recombinant DNA technology.",Supplemental,Biochemists and Biophysicists,"Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms.",exact,100.0,5,12.0,40.0,3.18,55.0,4.A.3.a.2.I47.D04,Prepare compounds or solutions for products or testing.,4.A.3.a.2.I47,1.0,0.6568144499178983,0.6292428198433421,0.9178272980501393
"plan and develop pre-production ideas into outlines, scripts, story boards, and graphics, using own ideas or specifications of assignments.",24.0,27-4011.00,3994.0,"Plan and develop pre-production ideas into outlines, scripts, story boards, and graphics, using own ideas or specifications of assignments.",Supplemental,Audio and Video Technicians,"Set up, maintain, and dismantle audio and video equipment, such as microphones, sound speakers, connecting wires and cables, sound and mixing boards, video cameras, video monitors and servers, and related electronic equipment for live or recorded events, such as concerts, meetings, conventions, presentations, podcasts, news conferences, and sporting events.",exact,100.0,3,6.0,42.67,3.03,61.19,4.A.3.b.6.I16.D02,Write material for artistic or entertainment purposes.,4.A.3.b.6.I16,0.6978527607361965,0.3251231527093596,0.6422976501305483,0.6469359331476325
examine documents to determine degree of risk from such factors as applicant financial standing and value and condition of property.,24.0,13-2053.00,21045.0,"Examine documents to determine degree of risk from factors such as applicant health, financial standing and value, and condition of property.",Core,Insurance Underwriters,Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.,fuzzy,93.68029739776952,4,6.0,70.0,4.53,100.0,4.A.2.a.1.I09.D02; 4.A.2.a.4.I06.D01,Analyze health-related data.; Assess financial status of clients.,4.A.2.a.1.I09; 4.A.2.a.4.I06,0.6472392638036811,0.5402298850574714,0.06788511749347259,0.4087743732590532
"measure or weigh materials, using rulers, calculators, and scales.",24.0,51-4193.00,10329.0,"Measure or weigh materials, using rulers, calculators, and scales.",Supplemental,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend plating machines to coat metal or plastic products with chromium, zinc, copper, cadmium, nickel, or other metal to protect or decorate surfaces. Typically, the product being coated is immersed in molten metal or an electrolytic solution.",exact,100.0,2,1.0,49.2,4.19,59.04,4.A.1.b.3.I01.D10,Measure ingredients or substances to be used in production processes.,4.A.1.b.3.I01,0.4631901840490798,0.40886699507389174,0.7780678851174934,0.6483286908077995
interview patients or their representatives to identify problems relating to care.,23.0,29-2099.08,17670.0,Interview patients or their representatives to identify problems relating to care.,Core,Patient Representatives,"Assist patients in obtaining services, understanding policies and making health care decisions.",exact,100.0,3,2.0,26.65,4.45,82.1,4.A.1.a.1.I23.D01,"Interview employees, customers, or others to collect information.",4.A.1.a.1.I23,0.46165644171779135,0.5878489326765189,0.2323759791122715,0.43245125348189417
"set up, adjust, and operate audio-visual equipment, such as cameras, film and slide projectors, and recording equipment, for meetings, events, classes, seminars, and video conferences.",23.0,25-4022.00,22432.0,"Set up, adjust, and operate audio-visual equipment, such as cameras, film and slide projectors, and recording equipment, for meetings, events, classes, seminars, and video conferences.",Core,Librarians and Media Collections Specialists,"Administer and maintain libraries or collections of information, for public or private access through reference or borrowing. Work in a variety of settings, such as educational institutions, museums, and corporations, and with various types of informational materials, such as books, periodicals, recordings, films, and databases. Tasks may include acquiring, cataloging, and circulating library materials, and user services such as locating and organizing information, providing instruction on how to access information, and setting up and operating a library's media equipment.",exact,100.0,5,8.0,64.65,3.32,70.04,4.A.3.a.3.I05.D03,Operate audiovisual equipment.,4.A.3.a.3.I05,0.6119631901840491,0.5977011494252874,0.21671018276762405,0.4965181058495823
evaluate violations or problems discovered during inspections to determine appropriate regulatory actions or to provide advice on the development and prosecution of regulatory cases.,23.0,19-2041.00,1515.0,Evaluate violations or problems discovered during inspections to determine appropriate regulatory actions or to provide advice on the development and prosecution of regulatory cases.,Supplemental,"Environmental Scientists and Specialists, Including Health","Conduct research or perform investigation for the purpose of identifying, abating, or eliminating sources of pollutants or hazards that affect either the environment or public health. Using knowledge of various scientific disciplines, may collect, synthesize, study, report, and recommend action based on data derived from measurements or observations of air, food, soil, water, and other sources.",exact,100.0,4,6.0,47.49,3.66,61.55,4.A.2.a.3.I02.D01,Assess compliance with environmental laws.,4.A.2.a.3.I02,0.651840490797546,0.5927750410509032,0.18537859007832896,0.4958217270194986
"research laws, court decisions, documents, opinions, briefs, or other information related to cases before the court.",23.0,23-1012.00,19051.0,"Research laws, court decisions, documents, opinions, briefs, or other information related to cases before the court.",Core,Judicial Law Clerks,Assist judges in court or by conducting research or preparing legal documents.,exact,100.0,5,11.0,51.87,4.84,94.69,4.A.1.a.1.I05.D02,Research relevant legal materials to aid decision making.,4.A.1.a.1.I05,0.7070552147239263,0.1592775041050903,0.18276762402088773,0.33565459610027865
"interview or correspond with claimants, witnesses, police, physicians, or other relevant parties to determine claim settlement, denial, or review.",23.0,13-1031.00,21422.0,"Interview or correspond with claimants, witnesses, police, physicians, or other relevant parties to determine claim settlement, denial, or review.",Core,"Claims Adjusters, Examiners, and Investigators",Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims.,exact,100.0,4,6.0,55.82,4.59,99.47,4.A.1.a.1.I23.D09,"Interview witnesses, suspects, or claimants.",4.A.1.a.1.I23,0.5797546012269937,0.4433497536945814,0.12532637075718014,0.36768802228412256
"shade and fill in sketch outlines and backgrounds, using a variety of media such as water colors, markers, and transparent washes, labeling designated colors when necessary.",23.0,27-1013.00,11003.0,"Shade and fill in sketch outlines and backgrounds, using a variety of media such as water colors, markers, and transparent washes, labeling designated colors when necessary.",Supplemental,"Fine Artists, Including Painters, Sculptors, and Illustrators",Create original artwork using any of a wide variety of media and techniques.,exact,100.0,3,4.0,37.03,3.86,50.88,4.A.2.b.2.I18.D15,Draw detailed or technical illustrations.,4.A.2.b.2.I18,0.6303680981595091,0.27422003284072255,0.4830287206266319,0.5097493036211701
conduct research on economic issues and disseminate research findings through technical reports or scientific articles in journals.,23.0,19-3011.00,20053.0,"Conduct research on economic issues, and disseminate research findings through technical reports or scientific articles in journals.",Core,Economists,"Conduct research, prepare reports, or formulate plans to address economic problems related to the production and distribution of goods and services or monetary and fiscal policy. May collect and process economic and statistical data using sampling techniques and econometric methods.",exact,100.0,5,8.0,50.0,3.83,95.83,4.A.3.b.6.I03.D04,Prepare scientific or technical reports or presentations.,4.A.3.b.6.I03,0.8987730061349692,0.4958949096880133,0.020887728459530044,0.4791086350974932
review or transmit images and information using picture archiving or communications systems.,23.0,29-1224.00,17239.0,Review or transmit images and information using picture archiving or communications systems.,Core,Radiologists,"Diagnose and treat diseases and injuries using medical imaging techniques, such as x rays, magnetic resonance imaging (MRI), nuclear medicine, and ultrasounds. May perform minimally invasive medical procedures and tests.",exact,100.0,5,12.0,57.86,4.84,97.05,4.A.2.a.4.I06.D03; 4.A.4.c.1.I05.D03,"Analyze test data or images to inform diagnosis or treatment.; Send information, materials or documentation.",4.A.2.a.4.I06; 4.A.4.c.1.I05,0.6595092024539879,0.6962233169129722,0.556135770234987,0.7409470752089139
"select and use laboratory, operational, or diagnostic techniques or test equipment to assess electromechanical circuits, equipment, processes, systems, or subsystems.",23.0,17-3024.00,22017.0,"Select and use laboratory, operational, or diagnostic techniques or test equipment to assess electromechanical circuits, equipment, processes, systems, or subsystems.",Supplemental,Electro-Mechanical and Mechatronics Technologists and Technicians,"Operate, test, maintain, or adjust unmanned, automated, servomechanical, or electromechanical equipment. May operate unmanned submarines, aircraft, or other equipment to observe or record visual information at sites such as oil rigs, crop fields, buildings, or for similar infrastructure, deep ocean exploration, or hazardous waste removal. May assist engineers in testing and designing robotics equipment.",exact,100.0,3,3.0,31.72,3.79,66.27,4.A.1.b.2.I12.D02,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment.",4.A.1.b.2.I12,0.5889570552147239,0.4466338259441708,0.783289817232376,0.7242339832869082
interpret laboratory results and communicate findings to patients or physicians.,23.0,29-9092.00,17507.0,Interpret laboratory results and communicate findings to patients or physicians.,Core,Genetic Counselors,"Assess individual or family risk for a variety of inherited conditions, such as genetic disorders and birth defects. Provide information to other healthcare providers or to individuals and families concerned with the risk of inherited conditions. Advise individuals and families to support informed decisionmaking and coping methods for those at risk. May help conduct research related to genetic conditions or genetic counseling.",exact,100.0,5,8.0,100.0,4.91,100.0,4.A.4.a.1.I05.D05; 4.A.4.a.2.I05.D01,Explain medical procedures or test results to patients or family members.; Inform medical professionals regarding patient conditions and care.,4.A.4.a.1.I05; 4.A.4.a.2.I05,0.5260736196319018,0.5254515599343187,0.03394255874673626,0.32938718662952654
prepare or present technical or project status reports.,23.0,17-2141.02,16423.0,Prepare or present technical or project status reports.,Core,Automotive Engineers,"Develop new or improved designs for vehicle structural members, engines, transmissions, or other vehicle systems, using computer-assisted design technology. Direct building, modification, or testing of vehicle or components.",exact,100.0,4,6.0,71.43,3.8,95.24,4.A.3.b.6.I15.D04,Prepare operational reports.,4.A.3.b.6.I15,0.7684049079754601,0.5517241379310346,0.36292428198433424,0.6260445682451254
prepare or validate documentation on automated logistics or maintenance-data reporting or management information systems.,23.0,13-1081.01,15868.0,Prepare or validate documentation on automated logistics or maintenance-data reporting or management information systems.,Core,Logistics Engineers,"Design or analyze operational solutions for projects such as transportation optimization, network modeling, process and methods analysis, cost containment, capacity enhancement, routing and shipment optimization, or information management.",exact,100.0,4,6.0,75.0,3.44,90.0,4.A.3.b.6.I08.D14,Maintain data in information systems or databases.,4.A.3.b.6.I08,0.7806748466257669,0.5993431855500821,0.22454308093994774,0.5779944289693594
"communicate with customers regarding orders, comments, and complaints.",23.0,35-3023.00,23099.0,"Communicate with customers regarding orders, comments, and complaints.",Core,Fast Food and Counter Workers,Perform duties such as taking orders and serving food and beverages. Serve customers at counter or from a steam table. May take payment. May prepare food and beverages.,exact,100.0,1,1.0,53.6,4.64,88.32,4.A.4.a.8.I03.D04,Communicate with customers to resolve complaints or ensure satisfaction.,4.A.4.a.8.I03,0.2377300613496933,0.2972085385878489,0.38381201044386415,0.2883008356545962
"conduct in-depth investigations of suspicious financial activity, such as suspected money-laundering efforts.",23.0,13-2099.04,16056.0,"Conduct in-depth investigations of suspicious financial activity, such as suspected money-laundering efforts.",Core,"Fraud Examiners, Investigators and Analysts","Obtain evidence, take statements, produce reports, and testify to findings regarding resolution of fraud allegations. May coordinate fraud detection and prevention activities.",exact,100.0,4,6.0,75.0,4.09,92.0,4.A.1.a.1.I03.D04,Investigate legal issues.,4.A.1.a.1.I03,0.7116564417177915,0.6617405582922826,0.19843342036553524,0.5591922005571034
"screen persons entering courthouse using magnetometers, x-ray machines, and other devices to collect and retain unauthorized firearms and other contraband.",23.0,33-3011.00,20123.0,"Screen persons entering courthouse using magnetometers, x-ray machines, and other devices to collect and retain unauthorized firearms and other contraband.",Core,Bailiffs,Maintain order in courts of law.,exact,100.0,3,2.0,39.86,4.7,78.87,4.A.3.a.1.I11.D09; 4.A.3.a.1.I11.D11,Confiscate prohibited or dangerous items.; Search individuals for illegal or dangerous items.,4.A.3.a.1.I11,0.450920245398773,0.5894909688013137,0.4386422976501306,0.5383008356545963
prepare reports on logistics performance measures.,23.0,13-1081.02,15895.0,Prepare reports on logistics performance measures.,Core,Logistics Analysts,"Analyze product delivery or supply chain processes to identify or recommend changes. May manage route activity including invoicing, electronic bills, and shipment tracing.",exact,100.0,4,6.0,63.64,4.05,100.0,4.A.3.b.6.I15.D04,Prepare operational reports.,4.A.3.b.6.I15,0.7453987730061349,0.5977011494252874,0.2506527415143603,0.5752089136490252
"instruct in use of voice, video, and data communications systems.",23.0,15-1241.01,20366.0,"Instruct in use of voice, video, and data communications systems.",Core,Telecommunications Engineering Specialists,"Design or configure wired, wireless, and satellite communications systems for voice, video, and data services. Supervise installation, service, and maintenance.",exact,100.0,3,3.0,23.81,3.88,80.95,4.A.4.b.3.I05.D03,Teach others to use computer equipment or hardware.,4.A.4.b.3.I05,0.6809815950920245,0.5599343185550082,0.22454308093994774,0.5160167130919222
"determine appropriate sizes, ratings, and locations for all system overcurrent devices, disconnect devices, grounding equipment, and surge suppression equipment.",23.0,47-2231.00,17747.0,"Determine appropriate sizes, ratings, and locations for all system overcurrent devices, disconnect devices, grounding equipment, and surge suppression equipment.",Core,Solar Photovoltaic Installers,"Assemble, install, or maintain solar photovoltaic (PV) systems on roofs or other structures in compliance with site assessment and schematics. May include measuring, cutting, assembling, and bolting structural framing and solar modules. May perform minor electrical work such as current checks.",exact,100.0,2,3.0,36.91,4.31,84.1,4.A.2.b.1.I04.D02; 4.A.2.b.1.I10.D07,Determine appropriate locations for operations or installations.; Select construction materials.,4.A.2.b.1.I04; 4.A.2.b.1.I10,0.44631901840490795,0.42364532019704426,0.5509138381201044,0.525766016713092
manage warranty repair or replacement services.,23.0,11-9199.09,15811.0,Manage warranty repair or replacement services.,Core,Wind Energy Operations Managers,"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning.",exact,100.0,3,5.0,39.7,3.61,95.52,4.A.4.b.4.I12.D27,Direct facility maintenance or repair activities.,4.A.4.b.4.I12,0.7131901840490799,0.7717569786535305,0.825065274151436,0.9408077994428973
"plan, prepare, and develop various teaching aids such as bibliographies, charts, and graphs.",23.0,25-9042.00,22473.0,"Plan, prepare, and develop various teaching aids, such as bibliographies, charts, and graphs.",Supplemental,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education","Assist a preschool, elementary, middle, or secondary school teacher with instructional duties. Serve in a position for which a teacher has primary responsibility for the design and implementation of educational programs and services.",exact,100.0,3,2.0,27.1,3.86,63.05,4.A.3.b.6.I12.D09,Develop instructional materials.,4.A.3.b.6.I12,0.6671779141104295,0.43349753694581283,0.1514360313315927,0.4171309192200558
obtain credit information from banks and other credit services.,23.0,13-1031.00,21442.0,Obtain credit information from banks and other credit services.,Supplemental,"Claims Adjusters, Examiners, and Investigators",Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims.,exact,100.0,4,6.0,55.82,2.94,37.28,4.A.1.a.1.I04.D04,Gather financial records.,4.A.1.a.1.I04,0.5797546012269937,0.4433497536945814,0.12532637075718014,0.36768802228412256
"perform financial calculations, such as amounts due, interest charges, balances, discounts, equity, and principal.",23.0,43-3031.00,2497.0,"Perform financial calculations, such as amounts due, interest charges, balances, discounts, equity, and principal.",Core,"Bookkeeping, Accounting, and Auditing Clerks","Compute, classify, and record numerical data to keep financial records complete. Perform any combination of routine calculating, posting, and verifying duties to obtain primary financial data for use in maintaining accounting records. May also check the accuracy of figures, calculations, and postings pertaining to business transactions recorded by other workers.",exact,100.0,3,2.0,40.89,4.32,68.85,4.A.1.b.3.I03.D01,Calculate financial data.,4.A.1.b.3.I03,0.3650306748466258,0.39901477832512317,0.2219321148825065,0.3029247910863511
perform needs assessments or consult with clients to determine the types of research and information required.,23.0,19-4061.00,12973.0,Perform needs assessments or consult with clients to determine the types of research and information required.,Supplemental,Social Science Research Assistants,"Assist social scientists in laboratory, survey, and other social science research. May help prepare findings for publication and assist in laboratory analysis, quality control, or data management.",exact,100.0,4,6.0,52.73,3.39,45.32,4.A.4.a.2.I13.D02,Confer with clients to exchange information.,4.A.4.a.2.I13,0.6963190184049082,0.41215106732348117,0.12271540469973889,0.40598885793871875
"monitor study activities to ensure compliance with protocols and with all relevant local, federal, and state regulatory and institutional polices.",23.0,11-9121.01,15613.0,"Monitor study activities to ensure compliance with protocols and with all relevant local, federal, and state regulatory and institutional polices.",Core,Clinical Research Coordinators,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.",exact,100.0,4,6.0,60.13,4.34,93.18,4.A.1.a.2.I11.D04,Monitor organizational compliance with regulations.,4.A.1.a.2.I11,0.5214723926380368,0.43842364532019695,0.2924281984334204,0.42827298050139284
"determine which topics to research, or pursue research topics specified by clients or employers.",23.0,19-3093.00,3727.0,"Determine which topics to research, or pursue research topics specified by clients or employers.",Core,Historians,"Research, analyze, record, and interpret the past as recorded in sources, such as government and institutional records, newspapers and other periodicals, photographs, interviews, films, electronic media, and unpublished manuscripts, such as personal diaries and letters.",exact,100.0,5,8.0,23.88,3.71,93.19,,,,0.7776073619631902,0.4630541871921182,0.1775456919060052,0.4937325905292481
record patients' medical information and vital signs.,23.0,29-1141.00,1841.0,Record patients' medical information and vital signs.,Core,Registered Nurses,"Assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records. Administer nursing care to ill, injured, convalescent, or disabled patients. May advise patients on health maintenance and disease prevention or provide case management. Licensing or registration required.",exact,100.0,4,6.0,55.92,4.74,100.0,4.A.3.b.6.I11.D04,Record patient medical histories.,4.A.3.b.6.I11,0.7024539877300614,0.8210180623973727,0.475195822454308,0.7701949860724235
"test samples to determine viscosity, acidity, specific gravity, or degree of concentration, using test equipment such as viscometers, ph meters, or hydrometers.",23.0,51-9012.00,12362.0,"Test samples to determine viscosity, acidity, specific gravity, or degree of concentration, using test equipment such as viscometers, pH meters, or hydrometers.",Supplemental,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Set up, operate, or tend continuous flow or vat-type equipment; filter presses; shaker screens; centrifuges; condenser tubes; precipitating, fermenting, or evaporating tanks; scrubbing towers; or batch stills. These machines extract, sort, or separate liquids, gases, or solids from other materials to recover a refined product. Includes dairy processing equipment operators.",exact,100.0,2,2.0,90.81,4.02,64.14,4.A.1.b.2.I03.D05,Test chemical or physical characteristics of materials or products.,4.A.1.b.2.I03,0.4095092024539877,0.20853858784893278,0.6814621409921671,0.487465181058496
"develop customer documentation, such as performance specifications, training manuals, or operating instructions.",23.0,17-2199.06,16488.0,"Develop customer documentation, such as performance specifications, training manuals, or operating instructions.",Supplemental,Microsystems Engineers,"Research, design, develop, or test microelectromechanical systems (MEMS) devices.",exact,100.0,5,8.0,34.17,3.18,64.56,4.A.3.b.6.I09.D01,Prepare procedural documents.,4.A.3.b.6.I09,0.7392638036809817,0.535303776683087,0.5013054830287206,0.6796657381615603
"develop methods of assessing or measuring corporate performance in terms of environmental, social, and governance (esg) issues.",23.0,13-2099.01,19574.0,"Develop methods of assessing or measuring corporate performance in terms of environmental, social, and governance (ESG) issues.",Supplemental,Financial Quantitative Analysts,"Develop quantitative techniques to inform securities investing, equities investing, pricing, or valuation of financial instruments. Develop mathematical or statistical models for risk management, asset optimization, pricing, or relative value analysis.",exact,100.0,5,8.0,60.0,2.84,95.0,4.A.2.b.4.I03.D06,Develop financial analysis methods.,4.A.2.b.4.I03,0.8159509202453988,0.47619047619047616,0.10704960835509136,0.4791086350974932
"plan the contents of publications according to the publication's style, editorial policy, and publishing requirements.",23.0,27-3041.00,1779.0,"Plan the contents of publications according to the publication's style, editorial policy, and publishing requirements.",Core,Editors,"Plan, coordinate, revise, or edit written material. May review proposals and drafts for possible publication.",exact,100.0,4,6.0,80.43,4.08,81.89,4.A.2.b.2.I18.D12,Design layouts for print publications.,4.A.2.b.2.I18,0.682515337423313,0.5484400656814451,0.21932114882506523,0.5090529247910864
"analyze training needs to design employee development, language training and health and safety programs.",23.0,11-3121.00,992.0,"Analyze training needs to design employee development, language training, and health and safety programs.",Core,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization.",exact,100.0,4,6.0,73.91,3.83,100.0,4.A.4.b.4.I07.D04,Manage human resources activities.,4.A.4.b.4.I07,0.7009202453987731,0.9113300492610839,0.1409921671018277,0.6295264623955433
"investigate known or suspected internal theft, external theft, or vendor fraud.",23.0,33-9099.02,17561.0,"Investigate known or suspected internal theft, external theft, or vendor fraud.",Core,Retail Loss Prevention Specialists,"Implement procedures and systems to prevent merchandise loss. Conduct audits and investigations of employee activity. May assist in developing policies, procedures, and systems for safeguarding assets.",exact,100.0,2,2.0,68.63,4.69,99.06,4.A.1.a.1.I03.D03,Investigate crimes committed within organizations.,4.A.1.a.1.I03,0.6595092024539879,0.6600985221674879,0.32375979112271536,0.6016713091922008
"specify food portions and courses, production and time sequences, and workstation and equipment arrangements.",23.0,35-1012.00,2154.0,"Specify food portions and courses, production and time sequences, and workstation and equipment arrangements.",Core,First-Line Supervisors of Food Preparation and Serving Workers,Directly supervise and coordinate activities of workers engaged in preparing and serving food.,exact,100.0,2,2.0,43.58,4.21,83.16,4.A.4.b.4.I12.D15,Coordinate timing of food production activities.,4.A.4.b.4.I12,0.38957055214723924,0.6568144499178982,0.6214099216710183,0.6364902506963789
maintain or modify all financial analytic models in use.,23.0,13-2099.01,15987.0,Maintain or modify all financial analytic models in use.,Core,Financial Quantitative Analysts,"Develop quantitative techniques to inform securities investing, equities investing, pricing, or valuation of financial instruments. Develop mathematical or statistical models for risk management, asset optimization, pricing, or relative value analysis.",exact,100.0,5,8.0,60.0,3.65,100.0,4.A.2.a.4.I11.D03,Apply mathematical models of financial or business conditions.,4.A.2.a.4.I11,0.8159509202453988,0.47619047619047616,0.10704960835509136,0.4791086350974932
"maintain knowledge of tax code changes, and of accounting procedures and theory to properly evaluate financial information.",23.0,13-2081.00,5289.0,"Maintain knowledge of tax code changes, and of accounting procedures and theory to properly evaluate financial information.",Supplemental,"Tax Examiners and Collectors, and Revenue Agents",Determine tax liability or collect taxes from individuals or business firms according to prescribed laws and regulations.,exact,100.0,3,6.0,33.61,4.19,63.64,4.A.2.b.3.I01.D06,Update knowledge of legal or regulatory environments.,4.A.2.b.3.I01,0.5260736196319019,0.46633825944170765,0.18537859007832896,0.3850974930362117
